LegID,LegOrig,LegDest,LegSTD,LegSTA,Captain
121,a17,a19,10:55:00,12:30:00,k55
122,a19,a17,15:40:00,17:15:00,k56
123,a17,a19,18:00:00,19:35:00,k56
124,a19,a17,20:20:00,21:55:00,k56
125,a19,a17,07:15:00,08:50:00,k57
126,a17,a19,09:35:00,11:10:00,k57
127,a19,a17,11:55:00,13:30:00,k57
128,a17,a15,15:15:00,16:20:00,k58
129,a15,a19,16:55:00,17:45:00,k58
130,a19,a9,18:30:00,19:30:00,k58
131,a17,a19,06:00:00,07:35:00,k59
132,a19,a15,08:20:00,09:10:00,k59
133,a15,a23,09:45:00,10:25:00,k59
134,a23,a15,11:00:00,11:40:00,k59
135,a15,a9,12:15:00,13:15:00,k59
136,a9,a19,15:25:00,16:25:00,k60
137,a19,a17,17:10:00,18:45:00,k60
138,a17,a25,19:30:00,20:05:00,k60
139,a25,a17,20:40:00,21:15:00,k60
140,a17,a19,22:00:00,23:35:00,k60
141,a1,a24,07:50:00,11:30:00,k31
142,a24,a1,12:05:00,15:45:00,k31
143,a1,a18,16:50:00,18:20:00,k32
144,a18,a26,19:05:00,21:15:00,k32
145,a26,a24,21:50:00,23:15:00,k32
146,a24,a26,07:30:00,08:55:00,k33
147,a26,a18,09:30:00,11:40:00,k33
148,a18,a1,12:25:00,13:55:00,k33
149,a1,a24,15:05:00,18:45:00,k34
150,a24,a1,19:20:00,23:00:00,k34
151,a1,a27,07:10:00,09:30:00,k35
152,a27,a30,10:05:00,11:45:00,k35
153,a30,a24,12:20:00,14:10:00,k35
154,a24,a30,15:20:00,17:10:00,k36
155,a30,a27,17:45:00,19:25:00,k36
156,a27,a1,20:00:00,22:20:00,k36
157,a1,a28,07:45:00,09:55:00,k37
158,a28,a29,10:30:00,11:40:00,k37
159,a29,a1,12:15:00,13:30:00,k37
160,a1,a31,15:10:00,16:40:00,k38
161,a31,a1,17:15:00,18:45:00,k38
162,a1,a28,19:30:00,21:40:00,k38
163,a1,a29,07:25:00,08:40:00,k39
164,a29,a31,09:15:00,10:25:00,k39
165,a31,a28,11:00:00,12:05:00,k39
166,a28,a31,17:00:00,18:05:00,k40
167,a31,a29,18:40:00,19:50:00,k40
168,a29,a1,20:25:00,21:40:00,k40
169,a28,a1,07:15:00,09:25:00,k41
170,a1,a31,10:10:00,11:40:00,k41
171,a31,a1,12:15:00,13:45:00,k41
172,a1,a29,17:15:00,18:30:00,k42
173,a29,a28,19:05:00,20:15:00,k42
174,a28,a1,20:50:00,23:00:00,k42
175,a9,a31,06:20:00,07:40:00,k61
176,a31,a2,08:15:00,10:45:00,k61
177,a2,a18,11:30:00,13:50:00,k61
178,a18,a2,14:50:00,17:10:00,k62
179,a2,a18,17:55:00,20:15:00,k62
180,a18,a2,21:00:00,23:20:00,k62
181,a18,a2,06:15:00,08:35:00,k63
182,a2,a18,09:20:00,11:40:00,k63
183,a18,a2,12:25:00,14:45:00,k63
184,a2,a31,16:10:00,18:40:00,k64
185,a31,a18,19:15:00,19:45:00,k64
186,a18,a9,20:30:00,21:45:00,k64
187,a2,a18,06:40:00,09:00:00,k13
188,a18,a31,09:45:00,10:15:00,k13
189,a31,a9,10:50:00,12:10:00,k13
190,a9,a18,15:40:00,16:55:00,k14
191,a18,a2,17:40:00,20:00:00,k14
192,a2,a18,20:45:00,23:05:00,k14
193,a1,a9,06:30:00,07:30:00,k7
194,a9,a1,08:15:00,09:15:00,k7
195,a1,a9,10:00:00,11:00:00,k7
196,a9,a1,11:45:00,12:45:00,k7
197,a1,a9,15:20:00,16:20:00,k8
198,a9,a1,17:05:00,18:05:00,k8
199,a1,a9,18:50:00,19:50:00,k8
200,a9,a1,20:35:00,21:35:00,k8
201,a9,a1,06:35:00,07:35:00,k15
202,a1,a9,08:20:00,09:20:00,k15
203,a9,a1,10:05:00,11:05:00,k15
204,a1,a9,11:50:00,12:50:00,k15
205,a9,a1,16:10:00,17:10:00,k16
206,a1,a9,17:55:00,18:55:00,k16
207,a9,a1,19:40:00,20:40:00,k16
208,a1,a9,21:25:00,22:25:00,k16
209,a1,a18,06:05:00,07:35:00,k9
210,a18,a1,08:20:00,09:50:00,k9
211,a1,a18,10:35:00,12:05:00,k9
212,a18,a1,12:50:00,14:20:00,k9
213,a1,a18,15:10:00,16:40:00,k10
214,a18,a1,17:25:00,18:55:00,k10
215,a1,a18,19:40:00,21:10:00,k10
216,a18,a1,21:55:00,23:25:00,k10
217,a9,a18,06:10:00,07:25:00,k17
218,a18,a9,08:10:00,09:25:00,k17
219,a9,a18,10:10:00,11:25:00,k17
220,a18,a9,12:10:00,13:25:00,k17
221,a9,a18,15:05:00,16:20:00,k18
222,a18,a9,17:05:00,18:20:00,k18
223,a9,a18,19:05:00,20:20:00,k18
224,a18,a9,21:05:00,22:20:00,k18
225,a1,a19,06:45:00,07:55:00,k11
226,a19,a1,08:40:00,09:50:00,k11
227,a1,a19,10:35:00,11:45:00,k11
228,a19,a1,12:30:00,13:40:00,k11
229,a1,a19,14:50:00,16:00:00,k12
230,a19,a1,16:45:00,17:55:00,k12
231,a1,a19,18:40:00,19:50:00,k12
232,a19,a1,20:35:00,21:45:00,k12
